"Mã SP","Tên Sản Phẩm","Brand Sản Phẩm","Giá Thuê","Giá Cọc","Size","Giá nhập","Tổng doanh thu SP","Tỉ lệ hoàn vốn (%)","Ảnh sản phẩm","Trạng Thái","Ảnh phụ"
"T045","Joy Dress XS","Jolie Loft","200.000 đ","300.000 đ","Xs","","370.000 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_joy.jpg?raw=true","",""
"T046","Oli Dress","Jolie Loft","230.000 đ","400.000 đ","S","","0 đ","0,00%","","",""
"T047","Diva Dress","Amelie","200.000 đ","400.000 đ","S","","0 đ","0,00%","","",""
"T048","Eudora Dress","Jolie Loft","180.000 đ","300.000 đ","S","","150.000 đ","0,00%","","",""
"T049","Garment Dress S","Amelie","190.000 đ","400.000 đ","S","","0 đ","0,00%","","",""
"T050","Dari Dress","HIVRoom","200.000 đ","400.000 đ","S","","0 đ","0,00%","","",""
"T051","Seraphina Dress","Khiet","220.000 đ","600.000 đ","S","","0 đ","0,00%","","",""
"T052","Janna Dress","Khiet","200.000 đ","700.000 đ","S","","0 đ","0,00%","","",""
"T053","Talitha Dress S","Those Studios","230.000 đ","600.000 đ","S","","0 đ","0,00%","","",""
"T054","Ivory Dress","La Boutique","180.000 đ","200.000 đ","S","","150.000 đ","0,00%","","",""
"T061","Oliver Dress M","Those Studios","210.000 đ","400.000 đ","M","600.000 đ","780.000 đ","130,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_oliver.jpg?raw=true","",""
"T062","Dotie Dress","Amelia","170.000 đ","300.000 đ","M","","140.000 đ","0,00%","","",""
"T063","Amy Dress M","Wonderhouse","200.000 đ","600.000 đ","M","600.000 đ","340.000 đ","56,67%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_amy.jpg?raw=true","",""
"T064","Amant Dress","Amelia","200.000 đ","400.000 đ","M","","153.000 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_amant.jpg?raw=true","",""
"T065","Hazel Dress","Amelia","200.000 đ","400.000 đ","M","","1.080.000 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_hazel.jpg?raw=true","",""
"T066","Levia Dress M","Wonderhouse","200.000 đ","400.000 đ","M","","0 đ","0,00%","","",""
"T067","Ruby Dress","Trân Ali","210.000 đ","400.000 đ","M","","0 đ","0,00%","","",""
"T068","Luph Dress M","Jolie Loft","200.000 đ","400.000 đ","M","","0 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_luph.jpg?raw=true","",""
"T055","Aura Dress","JuletbyGiang","190.000 đ","300.000 đ","M","550.000 đ","320.000 đ","58,18%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_aura.jpg?raw=true","",""
"T069","Cocosin nâu","","120.000 đ","300.000 đ","M","","0 đ","0,00%","","",""
"T056","Lumia Dress","Lagom","180.000 đ","300.000 đ","M","","480.000 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_lumi.jpg?raw=true","",""
"T057","Serena Dress M","Those Studios","240.000 đ","700.000 đ","M","850.000 đ","870.000 đ","102,35%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_serena.jpg?raw=true","",""
"T058","Layla Dress M","Jolie Loft","200.000 đ","300.000 đ","M","","340.000 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_layla_jolieloft.jpg?raw=true","",""
"T070","Đầm hai dây đỏ","Jubin Studio","120.000 đ","300.000 đ","M","","0 đ","0,00%","","",""
"T059","Eily Dress M","Those Studios","210.000 đ","400.000 đ","M","750.000 đ","180.000 đ","24,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_eily.jpg?raw=true","Đang kinh doanh",""
"T071","Venus Dress","Vananhscarlet","200.000 đ","400.000 đ","M","","0 đ","0,00%","","",""
"T060","Tessa Dress","Those Studios","210.000 đ","600.000 đ","M","500.000 đ","360.000 đ","72,00%","","",""
"T072","Cúp ngực đen dây","Onomade","120.000 đ","300.000 đ","M","","0 đ","0,00%","","",""
"T073","Losia Dress M","Itscicico","200.000 đ","300.000 đ","M","","170.000 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_losia.jpg?raw=true","",""
"T074","Suri Dress","Wonderhouse","180.000 đ","300.000 đ","M","","200.000 đ","0,00%","","",""
"T075","Milan Dress M","Wonderhouse","210.000 đ","600.000 đ","M","750.000 đ","570.000 đ","76,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_milan.jpg?raw=true","",""
"T076","Sera Dress","Sauvee","250.000 đ","400.000 đ","M","","0 đ","0,00%","","",""
